pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_eqt,st_spectype,st_rad,st_mass,ra,dec,sy_dist
HD 93083 b,HD 93083,1,1,1,Radial Velocity,2005,143.58,0.477,,,0,,,117.59,0.37,,K3 V,,0.7,161.0866672,-33.5776794,28.5159
HD 93351 b,HD 93351,1,1,2,Radial Velocity,2022,2.45946,0.035,0.001,-0.002,0,,,3.49611,0.011,,,,0.94,161.6779279,-1.6885763,56.163
HD 93351 c,HD 93351,1,1,2,Radial Velocity,2022,14010.2941,11.154,2.956,-0.949,0,,,4154.01728,13.07,,,,0.94,161.6779279,-1.6885763,56.163
HD 93385 b,HD 93385,1,1,3,Radial Velocity,2021,7.3426,0.0756,0.0013,-0.0013,0,,,4.2,0.01321,,G2/G3 V,,1.04,161.5627065,-41.464604,43.3475
HD 93385 c,HD 93385,1,1,3,Radial Velocity,2021,13.18,0.112,0.002,-0.002,0,,,7.1,0.02234,,G2/G3 V,,1.04,161.5627065,-41.464604,43.3475
HD 93385 d,HD 93385,1,1,3,Radial Velocity,2021,45.85,0.2565,0.0043,-0.0043,0,,,8.7,0.02737,,G2/G3 V,,1.04,161.5627065,-41.464604,43.3475
HD 93963 A b,HD 93963 A,0,2,2,Transit,2022,1.0391353,0.02085,0.00037,-0.00037,0,1.35,0.12,7.8,0.02454,2042,G0 V,1.04,1.11,162.7766969,25.641065,82.3432
HD 93963 A b,HD 93963 A,1,2,2,Transit,2022,1.0376109,0.02061,0.0004,-0.0004,0,1.47,0.131,2.8,0.00881,1842,,1.03,1.08,162.7766969,25.641065,82.3432
HD 93963 A c,HD 93963 A,1,2,2,Transit,2022,3.6451389,0.04726,0.0008,-0.0009,0,3.12,0.278,18.4,0.05789,1212,,1.03,1.08,162.7766969,25.641065,82.3432
HD 93963 A c,HD 93963 A,0,2,2,Transit,2022,3.6451398,0.04813,0.00085,-0.00085,0,3.228,0.288,19.2,0.06041,1344,G0 V,1.04,1.11,162.7766969,25.641065,82.3432
